Column_Name,Platform,Dataset,Definition,Units,,,,,,,,,,,,,,,,,,,
startTime,slocum,GPS_timeseries,Date and Time (YYYY-MM-DD HH:mm:ss.SSSSSSSSS),YYYY-MM-DD HH:mm:ss.SSSSSSSSS,,,,,,,,,,,,,,,,,,,
endTime,slocum,GPS_timeseries,Date and Time (YYYY-MM-DD HH:mm:ss.SSSSSSSSS),YYYY-MM-DD HH:mm:ss.SSSSSSSSS,,,,,,,,,,,,,,,,,,,
latitude,slocum,GPS_timeseries,Latitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
longitude,slocum,GPS_timeseries,Longitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
time,slocum,flight_timeseries_engineering,Time (seconds since 1970-01-01T00:00:00+00:00),seconds (s),,,,,,,,,,,,,,,,,,,
time_utc,slocum,flight_timeseries_engineering,Date/Time converted,yyyy-mm-dd hh:mm:ss,,,,,,,,,,,,,,,,,,,
m_depth,slocum,flight_timeseries_engineering,Depth in meters,meters (m),,,,,,,,,,,,,,,,,,,
m_heading,slocum,flight_timeseries_engineering,measured heading,radians,,,,,,,,,,,,,,,,,,,
m_pitch,slocum,flight_timeseries_engineering,The angle between the gliders's longitudinal centerline and the horizontal plane of the earth. A positive pitch represents a 'nose-up' attitude; a negative pitch respresents a 'nose-down' attitude.,radians,,,,,,,,,,,,,,,,,,,
m_roll,slocum,flight_timeseries_engineering,The angular rotation of the glider around its' longitudinal axis.,radians,,,,,,,,,,,,,,,,,,,
m_battery,slocum,flight_timeseries_engineering,measured battery voltage,volts,,,,,,,,,,,,,,,,,,,
m_battpos,slocum,flight_timeseries_engineering,meausred position of the pitch battery,inches,,,,,,,,,,,,,,,,,,,
m_coulomb_amphr,slocum,flight_timeseries_engineering,measured integrated current,amp-hrs,,,,,,,,,,,,,,,,,,,
m_coulomb_amphr_total,slocum,flight_timeseries_engineering,peristent amp-hours total,amp-hrs,,,,,,,,,,,,,,,,,,,
m_coulomb_current,slocum,flight_timeseries_engineering,instantaneous currnet,amps,,,,,,,,,,,,,,,,,,,
m_de_oil_vol,slocum,flight_timeseries_engineering,"measured oil volume (0 is neutral, positive is pumping oil out (more boyuant), negative is oil flowing in (less boyuant))",cc,,,,,,,,,,,,,,,,,,,
m_gps_lat,slocum,flight_timeseries_engineering,measured latitude from gps fix,Decimal Degrees,,,,,,,,,,,,,,,,,,,
m_gps_lon,slocum,flight_timeseries_engineering,measured longitude from gps fix,Decimal Degrees,,,,,,,,,,,,,,,,,,,
m_depth_rate,slocum,flight_timeseries_engineering,"measured rate of change of depth, >0 is down",m/s,,,,,,,,,,,,,,,,,,,
m_fin,slocum,flight_timeseries_engineering,"digifin position (left, right movement)",radians,,,,,,,,,,,,,,,,,,,
m_speed,slocum,flight_timeseries_engineering,horizontal speed through water,m/s,,,,,,,,,,,,,,,,,,,
m_speed_avg,slocum,flight_timeseries_engineering,"running average speed over a dive or climb, reset at next dive or climb",m/s,,,,,,,,,,,,,,,,,,,
c_de_oil_vol,slocum,flight_timeseries_engineering,commanded oil volume,cc,,,,,,,,,,,,,,,,,,,
c_pitch,slocum,flight_timeseries_engineering,commanded pitch,radians,,,,,,,,,,,,,,,,,,,
c_fin,slocum,flight_timeseries_engineering,commanded fin position,radians,,,,,,,,,,,,,,,,,,,
profile_index,slocum,flight_timeseries_engineering,Incremental index of profile phase from intial surfacing to final surfacing for the profile.,numeric in 0.5 increments,,,,,,,,,,,,,,,,,,,
profile_direction,slocum,flight_timeseries_engineering,"Profile Direction: 0 = surfacing or inflection, 1 = descent, -1 = ascent","numeric (0, 1, -1)",,,,,,,,,,,,,,,,,,,
time,slocum,science_timeseries,Time (seconds since 1970-01-01T00:00:00+00:00),seconds (s),,,,,,,,,,,,,,,,,,,
time_utc,slocum,science_timeseries,Date/Time converted,yyyy-mm-dd hh:mm:ss,,,,,,,,,,,,,,,,,,,
latitude,slocum,science_timeseries,Latitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
longitude,slocum,science_timeseries,Longitude in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
depth,slocum,science_timeseries,Depth in meters,meters (m),,,,,,,,,,,,,,,,,,,
conductivity,slocum,science_timeseries,Conductivity in Siemens per meter (S/m),Siemens per meter (S/m),,,,,,,,,,,,,,,,,,,
temperature,slocum,science_timeseries,Temperature in Celcius degrees,celcius degrees (°C),,,,,,,,,,,,,,,,,,,
pressure,slocum,science_timeseries,Water pressure measured by CTD,dbar,,,,,,,,,,,,,,,,,,,
salinity,slocum,science_timeseries,Salinity in Practical Salinity Units (PSU),PSU,,,,,,,,,,,,,,,,,,,
density,slocum,science_timeseries,Seawater density in kilograms per cubic meter,kilograms/cubic meter (kg m-3),,,,,,,,,,,,,,,,,,,
potential_temperature,slocum,science_timeseries,Potential temperature of seawater,celcius degrees (°C),,,,,,,,,,,,,,,,,,,
potential_density,slocum,science_timeseries,Potential density of seawater,kilograms/cubic meter (kg m-3),,,,,,,,,,,,,,,,,,,
profile_index,slocum,profiles,Incremental index of profile phase from intial surfacing to final surfacing for the profile.,numeric in 0.5 increments,,,,,,,,,,,,,,,,,,,
profile_direction,slocum,profiles,"Profile Direction: 0 = surfacing or inflection, 1 = descent, -1 = ascent","numeric (0, 1, -1)",,,,,,,,,,,,,,,,,,,
profile_phase,slocum,profiles,"Profile phase: surfacing, descent, inflection, ascent",Text string,,,,,,,,,,,,,,,,,,,
start_time,slocum,profiles,Start of Profile Date and Time (YYYY-MM-DD HH:mm:ss.SSSSSSSSS),YYYY-MM-DD HH:mm:ss.SSSSSSSSS,,,,,,,,,,,,,,,,,,,
end_time,slocum,profiles,End of Profile Date and Time (YYYY-MM-DD HH:mm:ss.SSSSSSSSS),YYYY-MM-DD HH:mm:ss.SSSSSSSSS,,,,,,,,,,,,,,,,,,,
start_depth,slocum,profiles,Depth at start of profile in meters,meters (m),,,,,,,,,,,,,,,,,,,
end_depth,slocum,profiles,Depth at end of profile in meters,meters (m),,,,,,,,,,,,,,,,,,,
min_depth,slocum,profiles,Minimum profile depth in meters,meters (m),,,,,,,,,,,,,,,,,,,
max_depth,slocum,profiles,Maximum profile depth in meters,meters (m),,,,,,,,,,,,,,,,,,,
depth_range,slocum,profiles,Profile Depth Range (maximum - minimum depth) in meters,meters (m),,,,,,,,,,,,,,,,,,,
min_lon,slocum,profiles,Minimum longitude during profile in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
max_lon,slocum,profiles,Maximum longitude during profile in decimal degrees (DD.DDDD),decimal degrees,,,,,,,,,,,,,,,,,,,
